name,date,r,g,b,uri
Hat,2018-08-17 16:49:57,227,230,205,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/38618400_372325369968227_5243207980882591744_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=IM2jEkxyay8AX9XtVu9&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTg0ODA0ODcyNzM4ODY1NjM2MA%3D%3D.2-ccb7-5&oh=00_AT9NYe8MhyL1TGRsVzseG79hYiiWa8kFZWiMcDeocE7Sag&oe=63542A22&_nc_sid=30a2ef
Swimwear,2022-08-03 18:44:13,73,82,86,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/296915533_177311574773254_8720984175607582567_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=5nqHhtjMcP8AX_MLNz4&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg5Njg1NjcxOTc4NjEyNDE3NA%3D%3D.2-ccb7-5&oh=00_AT-wySsuORYsNM4przKWQ5-d0Nuifoz8xu_MuifF9baiVA&oe=6354905E&_nc_sid=30a2ef
Hat,2022-05-22 22:34:28,195,193,184,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/283235124_358947506300839_8680055236114532075_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=u0zZU6mJc0cAX9tsX9y&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg0NDA2Mzk3ODczODQ4NTQzMQ%3D%3D.2-ccb7-5&oh=00_AT9TQzV8jQNk7mQtQi-Glrx8Yu6hH0YEjETOJIbY0QQowg&oe=635478E8&_nc_sid=30a2ef
Pants,2022-04-18 20:34:07,16,18,25,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/278697331_527808758946489_6903540910323542110_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=jLwjOGXm4Z8AX80rFYo&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjgxOTM2MTAzNzI0NzE4NjAxMg%3D%3D.2-ccb7-5&oh=00_AT-2GIAXlCqmfgrnG45hUeG_m2NfizHD2quRfI21iFnFOQ&oe=6355088E&_nc_sid=30a2ef
Pants,2022-04-12 15:38:18,9,9,14,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/278115959_2193826510783669_4843065848514356651_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=6OAPP5kWwlwAX8mb_lM&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjgxNDg2MzQ5MTQyNjU3ODg0Mg%3D%3D.2-ccb7-5&oh=00_AT_GF5muU8Z4pby_1gZwGIdVCrj8m2Rt16gJxzlZDKw2LA&oe=63556936&_nc_sid=30a2ef
Coat,2022-04-12 15:38:18,16,20,23,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/278115959_2193826510783669_4843065848514356651_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=6OAPP5kWwlwAX8mb_lM&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjgxNDg2MzQ5MTQyNjU3ODg0Mg%3D%3D.2-ccb7-5&oh=00_AT_GF5muU8Z4pby_1gZwGIdVCrj8m2Rt16gJxzlZDKw2LA&oe=63556936&_nc_sid=30a2ef
Swimwear,2021-08-22 21:42:19,43,6,13,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/240083493_876909846538545_7572715708884465920_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=TcyxKfzxQIgAX_GupGe&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY0NjE3Mzk2MzU0ODU0NzgxMQ%3D%3D.2-ccb7-5&oh=00_AT_JY32hG02X6MiTloaPfHG9zrFA73m2dUILH3w56QYabA&oe=63545531&_nc_sid=30a2ef
Skirt,2022-10-11 19:00:18,163,25,32,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/311133510_3321238348153300_6369467324066156065_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=wbrgpWYOmL0AX8n6PD6&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk0Njg3NDMzNjQ4OTQ2Mjk4Mg%3D%3D.2-ccb7-5&oh=00_AT8FQAjQ2LmgDgkPL2E9TXJXQYoUmoVZRL5kyFaRSJpF6w&oe=63549F7E&_nc_sid=8fd12b
Pants,2022-10-11 19:00:18,148,160,189,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/311133510_3321238348153300_6369467324066156065_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=wbrgpWYOmL0AX8n6PD6&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk0Njg3NDMzNjQ4OTQ2Mjk4Mg%3D%3D.2-ccb7-5&oh=00_AT8FQAjQ2LmgDgkPL2E9TXJXQYoUmoVZRL5kyFaRSJpF6w&oe=63549F7E&_nc_sid=8fd12b
Pants,2022-10-10 21:33:13,14,15,23,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/311492379_2303752419777836_8792846645501144441_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=EmKCJRVqp7EAX_EBXSU&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk0NjIyNjUyNjY1NjYzODQ4Mg%3D%3D.2-ccb7-5&oh=00_AT8VsncW8HeQGt9hxsEbIzsAzmKvwWoa3TFmngzB5SBa9w&oe=6354345F&_nc_sid=8fd12b
